blockindex	stim	cresp	acc	rt	resp	category	width	angle	ignore	gl	ignore2	stimindex	sub	resp1	resp6	cresp6	cresp1
134	tree11.jpg	1	1	0.714995	1	2	35.4877	32.41	-1	1	0	33	101	1	0	0	1
135	tree19.jpg	6	1	0.706404	6	2	56.5129	49.18	-1	1	0	34	101	0	1	1	0
1	tree11.jpg	1	1	1.241441	1	2	81.5474	72.33	-1	1	0	1	102	1	0	0	1
2	tree11.jpg	1	0	1.139739	6	1	62.7148	88.5	-1	-1	0	2	102	0	1	0	1
3	tree28.jpg	6	1	0.828873	6	2	44.6351	34.52	-1	1	0	1	102	0	1	1	0
4	tree28.jpg	6	1	0.818176	6	2	65.6923	54.62	-1	1	0	2	102	0	1	1	0
5	tree18.jpg	6	0	1.307156	1	1	34.8669	64.96	-1	-1	0	1	102	1	0	1	0
7	tree28.jpg	6	1	0.755352	6	2	73.4448	61.88	-1	1	0	3	102	0	1	1	0
8	tree16.jpg	1	0	0.855819	6	1	46.8833	73.09	-1	-1	0	1	102	0	1	0	1
9	tree28.jpg	6	1	0.687485	6	2	70.957	65.28	-1	1	0	4	102	0	1	1	0
10	tree11.jpg	1	0	0.851696	6	1	49.4248	81.23	-1	-1	0	3	102	0	1	0	1
15	tree31.jpg	6	0	0.731129	1	1	34.0514	50.69	-1	-1	0	1	102	1	0	1	0
16	tree28.jpg	6	1	1.111118	6	2	57.1209	48.85	-1	1	0	5	102	0	1	1	0
17	tree31.jpg	6	0	1.108371	1	1	55.461	79.68	-1	-1	0	2	102	1	0	1	0
18	tree11.jpg	1	0	0.78838	6	1	66.4338	93.63	-1	-1	0	4	102	0	1	0	1
19	tree31.jpg	6	1	0.823763	6	2	65.4789	54.09	-1	1	0	3	102	0	1	1	0
20	tree31.jpg	6	1	1.442721	6	2	47.4938	33.76	-1	1	0	4	102	0	1	1	0
21	tree37.jpg	1	1	0.87521	1	2	67.0669	65.71	-1	1	0	1	102	1	0	0	1
22	tree18.jpg	6	0	0.90565	1	1	33.4798	59.57	-1	-1	0	2	102	1	0	1	0
23	tree18.jpg	6	0	0.694195	1	1	52.2033	84.3	-1	-1	0	3	102	1	0	1	0
26	tree16.jpg	1	0	0.746392	6	1	41.3016	64.48	-1	-1	0	2	102	0	1	0	1
27	tree16.jpg	1	0	0.597548	6	1	51.5527	75.4	-1	-1	0	3	102	0	1	0	1
28	tree37.jpg	1	0	0.967744	6	1	52.6487	81.17	-1	-1	0	2	102	0	1	0	1
29	tree37.jpg	1	1	0.843358	1	2	52.9301	43.38	-1	1	0	3	102	1	0	0	1
30	tree11.jpg	1	1	0.712176	1	2	78.9556	72.4	-1	1	0	5	102	1	0	0	1
31	tree37.jpg	1	1	1.360865	1	2	52.7822	43.18	-1	1	0	4	102	1	0	0	1
32	tree16.jpg	1	0	0.835066	6	1	58.6759	81.13	-1	-1	0	4	102	0	1	0	1
33	tree28.jpg	6	1	0.730122	6	2	64.8085	57.8	-1	1	0	6	102	0	1	1	0
34	tree16.jpg	1	0	0.851688	6	1	52.163	78.49	-1	-1	0	5	102	0	1	0	1
35	tree16.jpg	1	1	0.562939	1	2	35.6062	26.36	-1	1	0	6	102	1	0	0	1
36	tree18.jpg	6	1	0.818185	6	2	65.2611	47.62	-1	1	0	4	102	0	1	1	0
38	tree31.jpg	6	0	0.743631	1	1	39.9098	69.64	-1	-1	0	5	102	1	0	1	0
39	tree37.jpg	1	0	1.075194	6	1	24.2069	51.29	-1	-1	0	5	102	0	1	0	1
40	tree11.jpg	1	1	0.824442	1	2	70.1967	56.71	-1	1	0	6	102	1	0	0	1
41	tree16.jpg	1	1	0.929348	1	2	66.4594	62.34	-1	1	0	7	102	1	0	0	1
42	tree16.jpg	1	1	0.411247	1	2	60.1639	47.51	-1	1	0	8	102	1	0	0	1
44	tree28.jpg	6	1	0.925314	6	2	33.6972	23.27	-1	1	0	7	102	0	1	1	0
45	tree37.jpg	1	0	1.128155	6	1	52.1325	82.25	-1	-1	0	6	102	0	1	0	1
48	tree18.jpg	6	0	0.912137	1	1	57.7581	83.88	-1	-1	0	5	102	1	0	1	0
49	tree31.jpg	6	1	0.792477	6	2	64.7929	52.74	-1	1	0	6	102	0	1	1	0
50	tree18.jpg	6	1	0.721083	6	2	56.0727	45.7	-1	1	0	6	102	0	1	1	0
51	tree18.jpg	6	1	0.634293	6	2	52.3664	48.69	-1	1	0	7	102	0	1	1	0
52	tree31.jpg	6	1	0.884869	6	2	66.0526	54.01	-1	1	0	7	102	0	1	1	0
53	tree11.jpg	1	1	0.791443	1	2	64.7116	54.17	-1	1	0	7	102	1	0	0	1
56	tree31.jpg	6	0	0.944073	1	1	55.4622	83.87	-1	-1	0	8	102	1	0	1	0
57	tree31.jpg	6	1	0.519018	6	2	33.2291	17.57	-1	1	0	9	102	0	1	1	0
58	tree16.jpg	1	1	1.075598	1	2	28.6085	18.61	-1	1	0	9	102	1	0	0	1
59	tree16.jpg	1	0	0.418634	6	1	31.663	52.22	-1	-1	0	10	102	0	1	0	1
60	tree18.jpg	6	1	1.419915	6	2	59.3878	52.6	-1	1	0	8	102	0	1	1	0
61	tree16.jpg	1	1	0.799198	1	2	57.9759	44.61	-1	1	0	11	102	1	0	0	1
65	tree18.jpg	6	0	0.601096	1	1	20.3108	50.27	-1	-1	0	9	102	1	0	1	0
66	tree18.jpg	6	1	0.46595	6	2	27.0527	11.9	-1	1	0	10	102	0	1	1	0
67	tree31.jpg	6	0	0.636512	1	1	26.0576	59.13	-1	-1	0	10	102	1	0	1	0
72	tree28.jpg	6	1	0.836435	6	2	57.0568	48	-1	1	0	8	102	0	1	1	0
73	tree18.jpg	6	0	0.943996	1	1	48.8245	76.87	-1	-1	0	11	102	1	0	1	0
74	tree28.jpg	6	1	1.271351	6	2	54.312	40.61	-1	1	0	9	102	0	1	1	0
75	tree31.jpg	6	0	1.552254	1	1	39.7834	65.26	-1	-1	0	11	102	1	0	1	0
